Live,#genre#
靖天歡樂,rtmp://45.88.148.178/channel/60c343c5961593122ebaf996
三立財經,rtmp://45.88.148.122/channel/60b4e50239e1b02e8b910d04
MTV LIVE,rtmp://104.149.141.122/channel/60b4e50239e1b02e8b910cde
CNBC,rtmp://45.92.126.226/channel/60b4e50239e1b02e8b910d44
寰宇財經,rtmp://45.88.148.178/channel/60b4e50239e1b02e8b910d4e
FOOD美食,rtmp://45.92.126.226/channel/60b4e50239e1b02e8b910cd6
亞洲美食,rtmp://104.149.141.122/channel/60b4e50239e1b02e8b910d00
博斯高球2,rtmp://45.92.126.226/channel/60b4e50239e1b02e8b910cd0
靖天日本,rtmp://45.92.126.226/channel/60b4e50239e1b02e8b910d54
NEWS24,rtmp://45.92.126.114/channel/6130ffd5c6f62a25d2da2181
FIGHTING TV ????  124 H,rtmp://45.92.126.114/channel/61310016c6f62a25d2da2183
Outdoor,rtmp://45.92.126.114/channel/60c2f692961593122ebaf8da
CLASSICA HD,rtmp://104.149.141.122/channel/60c30ac7961593122ebaf8e2
GOLF,rtmp://45.92.126.114/channel/60c30afc961593122ebaf8e4
龍華影劇,rtmp://45.88.148.114/channel/60b4e50239e1b02e8b910cc0
FIGHT,rtmp://45.88.148.122/channel/60c30e2d961593122ebaf8ea
美食星球,rtmp://45.92.126.226/channel/60b4e50239e1b02e8b910d4a
勁爆體育,rtmp://45.88.148.178/channel/60ecda94020b42a2f634be05
博斯高球1,rtmp://104.149.131.118/channel/610a2ac603524b0155f23466
博斯網球,rtmp://104.149.131.118/channel/610a2b2f03524b0155f23468
Disney XD Japan,rtmp://45.92.126.114/channel/61310363c6f62a25d2da2197
博斯運動二台,rtmp://104.149.141.122/channel/610a2bdf03524b0155f2346c
博斯魅力,rtmp://45.88.148.122/channel/610a3b7e03524b0155f23475
?道?????,rtmp://45.92.126.114/channel/6130ff85c6f62a25d2da217f
靖天卡通,rtmp://45.88.148.122/channel/60c344f6961593122ebaf9a2
探索科學,rtmp://45.92.126.226/channel/60b4e50239e1b02e8b910d72
MTV音樂台,rtmp://45.92.126.226/channel/60b4e50239e1b02e8b910d82
采昌戲劇,rtmp://45.88.148.178/channel/60b4e50239e1b02e8b910cd4
中視新聞HD,rtmp://45.92.126.226/channel/60c316c5961593122ebaf900
LUXE TV,rtmp://104.149.141.122/channel/60b4e50239e1b02e8b910ce2
澳門蓮花衛視,rtmp://45.88.148.122/channel/60b4e50239e1b02e8b910c5a
明珠台,rtmp://104.149.153.106/channel/60b4e50239e1b02e8b910c62
星河?道,rtmp://45.92.126.226/channel/60b4e50239e1b02e8b910d7a
法國時尚瘋,rtmp://45.88.148.114/channel/61004184f0618408855f3758
有線18台,rtmp://45.88.148.122/channel/60c2d2f9961593122ebaf8b9
有線財經資訊,rtmp://45.88.148.122/channel/60c2d336961593122ebaf8bb
